Chave: [000846] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 52
Chave: [004843] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 60
Chave: [003612] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 57
Chave: [002539] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 77
Chave: [001819] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 42
Chave: [002966] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 84
Chave: [002645] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 14
Chave: [001349] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 89
Chave: [000758] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 58
Chave: [003557] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 56
Chave: [004843] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 60
Chave: [002966] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 84
Chave: [001657] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 29
Chave: [002743] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 87
Chave: [003345] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 4
Chave: [001216] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001032 segundos. INTERACOES: 100
Chave: [004840] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000150 segundos. INTERACOES: 100
Chave: [004422] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [008098] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 100
Chave: [002108] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 100
Chave: [002038] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [003553] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 100
Chave: [003634] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [005715] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [004564] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [004908] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [005475] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [008670] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 100
Chave: [003475] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 100
Chave: [009303] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000121 segundos. INTERACOES: 100
