Chave: [000242] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 38
Chave: [000108] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000080 segundos. INTERACOES: 73
Chave: [000127] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 88
Chave: [000727] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 77
Chave: [000922] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 98
Chave: [000011] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000100 segundos. INTERACOES: 86
Chave: [000833] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 34
Chave: [000487] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000051 segundos. INTERACOES: 30
Chave: [000354] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000030 segundos. INTERACOES: 3
Chave: [000002] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 32
Chave: [000971] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000101 segundos. INTERACOES: 91
Chave: [000114] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000090 segundos. INTERACOES: 81
Chave: [000201] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 27
Chave: [000487] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000060 segundos. INTERACOES: 30
Chave: [000291] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000050 segundos. INTERACOES: 24
Chave: [008826] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000652 segundos. INTERACOES: 100
Chave: [000290] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000160 segundos. INTERACOES: 100
Chave: [000208] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 100
Chave: [001983] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 100
Chave: [004538] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000121 segundos. INTERACOES: 100
Chave: [002962] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000121 segundos. INTERACOES: 100
Chave: [007452] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000121 segundos. INTERACOES: 100
Chave: [003488] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000121 segundos. INTERACOES: 100
Chave: [002607] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [002802] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [009586] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 100
Chave: [007010] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000130 segundos. INTERACOES: 100
Chave: [006894] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 100
Chave: [001596] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 100
Chave: [006977] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000120 segundos. INTERACOES: 100
