Chave (002201) encontrada na árvore. Tempo de busca: 0.000000231 segundos. Interaçoes: 14
Chave (003389) encontrada na árvore. Tempo de busca: 0.000000180 segundos. Interaçoes: 13
Chave (002330) encontrada na árvore. Tempo de busca: 0.000000111 segundos. Interaçoes: 11
Chave (000067) encontrada na árvore. Tempo de busca: 0.000000191 segundos. Interaçoes: 12
Chave (003629) encontrada na árvore. Tempo de busca: 0.000000211 segundos. Interaçoes: 14
Chave (004160) encontrada na árvore. Tempo de busca: 0.000000281 segundos. Interaçoes: 17
Chave (002657) encontrada na árvore. Tempo de busca: 0.000000110 segundos. Interaçoes: 9
Chave (001669) encontrada na árvore. Tempo de busca: 0.000000160 segundos. Interaçoes: 11
Chave (001295) encontrada na árvore. Tempo de busca: 0.000000320 segundos. Interaçoes: 20
Chave (003483) encontrada na árvore. Tempo de busca: 0.000000351 segundos. Interaçoes: 16
Chave (001367) encontrada na árvore. Tempo de busca: 0.000000120 segundos. Interaçoes: 13
Chave (004057) encontrada na árvore. Tempo de busca: 0.000000320 segundos. Interaçoes: 20
Chave (004777) encontrada na árvore. Tempo de busca: 0.000000150 segundos. Interaçoes: 16
Chave (003263) encontrada na árvore. Tempo de busca: 0.000000120 segundos. Interaçoes: 7
Chave (002578) encontrada na árvore. Tempo de busca: 0.000000200 segundos. Interaçoes: 14
Chave (007366) não encontrada na arvore. Tempo de busca: 0.000000180 segundos. Interaçoes: 8
Chave (011016) não encontrada na arvore. Tempo de busca: 0.000000060 segundos. Interaçoes: 8
Chave (013789) não encontrada na arvore. Tempo de busca: 0.000000050 segundos. Interaçoes: 8
Chave (006585) não encontrada na arvore. Tempo de busca: 0.000000040 segundos. Interaçoes: 8
Chave (007767) não encontrada na arvore. Tempo de busca: 0.000000060 segundos. Interaçoes: 8
Chave (009103) não encontrada na arvore. Tempo de busca: 0.000000040 segundos. Interaçoes: 8
Chave (011321) não encontrada na arvore. Tempo de busca: 0.000000040 segundos. Interaçoes: 8
Chave (010950) não encontrada na arvore. Tempo de busca: 0.000000040 segundos. Interaçoes: 8
Chave (007245) não encontrada na arvore. Tempo de busca: 0.000000030 segundos. Interaçoes: 8
Chave (010531) não encontrada na arvore. Tempo de busca: 0.000000050 segundos. Interaçoes: 8
Chave (011601) não encontrada na arvore. Tempo de busca: 0.000000040 segundos. Interaçoes: 8
Chave (012145) não encontrada na arvore. Tempo de busca: 0.000000030 segundos. Interaçoes: 8
Chave (010477) não encontrada na arvore. Tempo de busca: 0.000000030 segundos. Interaçoes: 8
Chave (015003) não encontrada na arvore. Tempo de busca: 0.000000030 segundos. Interaçoes: 8
Chave (007104) não encontrada na arvore. Tempo de busca: 0.000000050 segundos. Interaçoes: 8
